0.0001,0.1444,0.0012
0.0000,0.1457,0.0006
0.0001,0.1425,0.0010
0.0001,0.1496,0.0006
0.0001,0.1360,0.0013
0.0000,0.1453,0.0008
0.0001,0.1505,0.0011
0.0001,0.1320,0.0006
0.0001,0.1461,0.0015
0.0001,0.1432,0.0008
0.0001,0.1484,0.0013
0.0000,0.1431,0.0011
0.0000,0.1269,0.0003
0.0000,0.1207,0.0004
0.0000,0.1109,0.0005
0.0001,0.1374,0.0006
0.0001,0.1500,0.0009
0.0001,0.1293,0.0017
0.0000,0.1458,0.0007
0.0001,0.1423,0.0023
0.0000,0.1470,0.0008
0.0000,0.1370,0.0003
0.0001,0.1440,0.0033
0.0001,0.1411,0.0034
0.0001,0.1433,0.0012
0.0001,0.1486,0.0020
0.0000,0.1490,0.0012
0.0000,0.1491,0.0010
0.0001,0.1453,0.0012
0.0001,0.1450,0.0017
0.0001,0.1438,0.0018
0.0000,0.1348,0.0005
0.0000,0.1261,0.0000
0.0001,0.1467,0.0016
0.0001,0.1468,0.0006
0.0001,0.1413,0.0005
0.0001,0.1486,0.0006
0.0000,0.1341,0.0007
0.0001,0.1501,0.0011
0.0001,0.1496,0.0006
0.0000,0.1081,0.0015
0.0001,0.1375,0.0001
0.0001,0.1445,0.0020
0.0001,0.1372,0.0026
0.0000,0.1435,0.0013
0.0001,0.1451,0.0009
0.0000,0.1442,0.0007
0.0001,0.1454,0.0009
0.0001,0.1500,0.0011
0.0785,0.0002,0.0564
0.0561,0.0002,0.0948
0.0887,0.0002,0.0571
0.0075,0.0018,0.1310
0.0613,0.0002,0.0934
0.0251,0.0004,0.1262
0.0567,0.0002,0.0934
0.0005,0.0202,0.0982
0.0567,0.0001,0.0922
0.0028,0.0032,0.1296
0.0007,0.0096,0.1033
0.0262,0.0007,0.1242
0.0087,0.0012,0.1238
0.0527,0.0003,0.1056
0.0043,0.0072,0.1262
0.0547,0.0002,0.0874
0.0300,0.0005,0.1194
0.0094,0.0014,0.1337
0.0403,0.0003,0.1037
0.0026,0.0029,0.1359
0.0621,0.0002,0.0903
0.0167,0.0012,0.1281
0.0603,0.0002,0.0927
0.0426,0.0003,0.1108
0.0385,0.0004,0.1100
0.0510,0.0002,0.0954
0.0763,0.0001,0.0708
0.1015,0.0002,0.0532
0.0420,0.0001,0.1154
0.0022,0.0097,0.1232
0.0024,0.0040,0.1321
0.0020,0.0061,0.1282
0.0086,0.0023,0.1345
0.0712,0.0002,0.0844
0.0202,0.0005,0.1211
0.0490,0.0004,0.0974
0.0745,0.0002,0.0751
0.0330,0.0003,0.1103
0.0027,0.0016,0.1361
0.0068,0.0017,0.1350
0.0074,0.0006,0.1339
0.0472,0.0002,0.1095
0.0073,0.0016,0.1366
0.0004,0.0182,0.1011
0.0112,0.0010,0.1357
0.0077,0.0012,0.1343
0.0167,0.0009,0.1320
0.0342,0.0005,0.1178
0.0004,0.0316,0.0883
0.0107,0.0010,0.1359
0.1246,0.0002,0.0050
0.0743,0.0002,0.0753
0.1456,0.0002,0.0013
0.1206,0.0003,0.0265
0.1375,0.0002,0.0065
0.1291,0.0001,0.0000
0.0093,0.0005,0.1074
0.1366,0.0001,0.0001
0.1228,0.0002,0.0170
0.1324,0.0002,0.0003
0.1098,0.0002,0.0446
0.1078,0.0001,0.0476
0.1372,0.0002,0.0124
0.0603,0.0002,0.0820
0.0792,0.0001,0.0570
0.1184,0.0002,0.0294
0.1219,0.0002,0.0324
0.1105,0.0001,0.0000
0.1082,0.0001,0.0000
0.0549,0.0002,0.0871
0.1429,0.0002,0.0032
0.0565,0.0002,0.0876
0.1207,0.0001,0.0000
0.0796,0.0002,0.0794
0.1383,0.0002,0.0096
0.1413,0.0002,0.0008
0.0733,0.0002,0.0866
0.0769,0.0002,0.0823
0.1247,0.0002,0.0245
0.1346,0.0002,0.0023
0.1377,0.0002,0.0001
0.1109,0.0001,0.0000
0.1227,0.0002,0.0264
0.0837,0.0001,0.0742
0.0888,0.0002,0.0490
0.1327,0.0001,0.0001
0.1215,0.0002,0.0160
0.1164,0.0001,0.0382
0.0646,0.0002,0.0929
0.1380,0.0003,0.0061
0.1349,0.0002,0.0120
0.1223,0.0002,0.0181
0.0707,0.0002,0.0790
0.1424,0.0002,0.0040
0.1358,0.0002,0.0048
0.1224,0.0002,0.0252
0.0834,0.0002,0.0701
0.1129,0.0002,0.0443
0.1137,0.0001,0.0258
0.0762,0.0002,0.0780
